miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR1193	MIR411	not_in_G	not_in_G
MIR1193	MIR412	not_in_G	not_in_G
MIR1193	MIR485	not_in_G	not_in_G
MIR1193	MIR487A	not_in_G	not_in_G
MIR1193	MIR487B	not_in_G	not_in_G
MIR1193	MIR494	not_in_G	not_in_G
MIR1193	MIR495	not_in_G	not_in_G
MIR1193	MIR496	not_in_G	not_in_G
MIR1193	MIR539	not_in_G	not_in_G
MIR1193	MIR543	not_in_G	not_in_G
MIR1193	MIR654	not_in_G	not_in_G
MIR1193	MIR655	not_in_G	not_in_G
MIR1193	MIR656	not_in_G	not_in_G
MIR1193	MIR758	not_in_G	not_in_G
MIR1193	MIR889	not_in_G	not_in_G
MIR1197	MIR154	not_in_G	not_in_G
MIR1197	MIR299	not_in_G	not_in_G
MIR1197	MIR323A	not_in_G	not_in_G
MIR1197	MIR323B	not_in_G	not_in_G
MIR1197	MIR329-1	not_in_G	not_in_G
MIR1197	MIR329-2	not_in_G	not_in_G
MIR1197	MIR369	not_in_G	not_in_G
MIR1197	MIR377	not_in_G	not_in_G
MIR1197	MIR379	not_in_G	not_in_G
MIR1197	MIR380	not_in_G	not_in_G
MIR1197	MIR381	not_in_G	not_in_G
MIR1197	MIR382	not_in_G	not_in_G
MIR1197	MIR409	not_in_G	not_in_G
MIR1197	MIR410	not_in_G	not_in_G
MIR1197	MIR411	not_in_G	not_in_G
MIR1197	MIR412	not_in_G	not_in_G
MIR1197	MIR485	not_in_G	not_in_G
MIR1197	MIR487A	not_in_G	not_in_G
MIR1197	MIR487B	not_in_G	not_in_G
MIR1197	MIR494	not_in_G	not_in_G
MIR1197	MIR495	not_in_G	not_in_G
MIR1197	MIR496	not_in_G	not_in_G
MIR1197	MIR539	not_in_G	not_in_G
MIR1197	MIR543	not_in_G	not_in_G
MIR1197	MIR654	not_in_G	not_in_G
MIR1197	MIR655	not_in_G	not_in_G
MIR1197	MIR656	not_in_G	not_in_G
MIR1197	MIR758	not_in_G	not_in_G
MIR1197	MIR889	not_in_G	not_in_G
MIR154	MIR323B	not_in_G	not_in_G
MIR154	MIR380	not_in_G	not_in_G
MIR154	MIR410	not_in_G	not_in_G
MIR154	MIR487A	KBTBD8	KBTBD2
MIR154	MIR496	not_in_G	not_in_G
MIR154	MIR655	not_in_G	not_in_G
MIR154	MIR656	not_in_G	not_in_G
MIR154	MIR889	not_in_G	not_in_G
MIR299	MIR323B	not_in_G	not_in_G
MIR299	MIR380	not_in_G	not_in_G
MIR299	MIR410	not_in_G	not_in_G
MIR299	MIR496	not_in_G	not_in_G
MIR299	MIR655	not_in_G	not_in_G
MIR299	MIR656	not_in_G	not_in_G
MIR299	MIR889	not_in_G	not_in_G
MIR323A	MIR323B	not_in_G	not_in_G
MIR323A	MIR380	not_in_G	not_in_G
MIR323A	MIR410	not_in_G	not_in_G
MIR323A	MIR496	not_in_G	not_in_G
MIR323A	MIR655	not_in_G	not_in_G
MIR323A	MIR656	not_in_G	not_in_G
MIR323A	MIR889	not_in_G	not_in_G
MIR323B	MIR329-1	not_in_G	not_in_G
MIR323B	MIR329-2	not_in_G	not_in_G
MIR323B	MIR369	not_in_G	not_in_G
MIR323B	MIR377	not_in_G	not_in_G
MIR323B	MIR379	not_in_G	not_in_G
MIR323B	MIR380	not_in_G	not_in_G
MIR323B	MIR381	not_in_G	not_in_G
MIR323B	MIR382	not_in_G	not_in_G
MIR323B	MIR409	not_in_G	not_in_G
MIR323B	MIR410	not_in_G	not_in_G
MIR323B	MIR411	not_in_G	not_in_G
MIR323B	MIR412	not_in_G	not_in_G
MIR323B	MIR485	not_in_G	not_in_G
MIR323B	MIR487A	not_in_G	not_in_G
MIR323B	MIR487B	not_in_G	not_in_G
MIR323B	MIR494	not_in_G	not_in_G
MIR323B	MIR495	not_in_G	not_in_G
MIR323B	MIR496	not_in_G	not_in_G
MIR323B	MIR539	not_in_G	not_in_G
MIR323B	MIR543	not_in_G	not_in_G
MIR323B	MIR654	not_in_G	not_in_G
MIR323B	MIR655	not_in_G	not_in_G
MIR323B	MIR656	not_in_G	not_in_G
MIR323B	MIR758	not_in_G	not_in_G
MIR323B	MIR889	not_in_G	not_in_G
MIR329-1	MIR329-2	ZFP91	ZBTB1
MIR329-1	MIR380	not_in_G	not_in_G
MIR329-1	MIR410	not_in_G	not_in_G
MIR329-1	MIR496	not_in_G	not_in_G
MIR329-1	MIR655	not_in_G	not_in_G
MIR329-1	MIR656	not_in_G	not_in_G
MIR329-1	MIR889	not_in_G	not_in_G
MIR329-2	MIR380	not_in_G	not_in_G
MIR329-2	MIR410	not_in_G	not_in_G
MIR329-2	MIR496	not_in_G	not_in_G
MIR329-2	MIR655	not_in_G	not_in_G
MIR329-2	MIR656	not_in_G	not_in_G
MIR329-2	MIR889	not_in_G	not_in_G
MIR369	MIR380	not_in_G	not_in_G
MIR369	MIR410	not_in_G	not_in_G
MIR369	MIR496	not_in_G	not_in_G
MIR369	MIR655	not_in_G	not_in_G
MIR369	MIR656	not_in_G	not_in_G
MIR369	MIR889	not_in_G	not_in_G
MIR377	MIR380	not_in_G	not_in_G
MIR377	MIR410	not_in_G	not_in_G
MIR377	MIR496	not_in_G	not_in_G
MIR377	MIR655	not_in_G	not_in_G
MIR377	MIR656	not_in_G	not_in_G
MIR377	MIR889	not_in_G	not_in_G
MIR379	MIR380	not_in_G	not_in_G
MIR379	MIR410	not_in_G	not_in_G
MIR379	MIR496	not_in_G	not_in_G
MIR379	MIR655	not_in_G	not_in_G
MIR379	MIR656	not_in_G	not_in_G
MIR379	MIR889	not_in_G	not_in_G
MIR380	MIR381	not_in_G	not_in_G
MIR380	MIR382	not_in_G	not_in_G
MIR380	MIR409	not_in_G	not_in_G
MIR380	MIR410	not_in_G	not_in_G
MIR380	MIR411	not_in_G	not_in_G
MIR380	MIR412	not_in_G	not_in_G
MIR380	MIR485	not_in_G	not_in_G
MIR380	MIR487A	not_in_G	not_in_G
MIR380	MIR487B	not_in_G	not_in_G
MIR380	MIR494	not_in_G	not_in_G
MIR380	MIR495	not_in_G	not_in_G
MIR380	MIR496	not_in_G	not_in_G
MIR380	MIR539	not_in_G	not_in_G
MIR380	MIR543	not_in_G	not_in_G
MIR380	MIR654	not_in_G	not_in_G
MIR380	MIR655	not_in_G	not_in_G
MIR380	MIR656	not_in_G	not_in_G
MIR380	MIR758	not_in_G	not_in_G
MIR380	MIR889	not_in_G	not_in_G
MIR381	MIR410	not_in_G	not_in_G
MIR381	MIR496	not_in_G	not_in_G
MIR381	MIR655	not_in_G	not_in_G
MIR381	MIR656	not_in_G	not_in_G
MIR381	MIR889	not_in_G	not_in_G
MIR382	MIR410	not_in_G	not_in_G
MIR382	MIR496	not_in_G	not_in_G
MIR382	MIR655	not_in_G	not_in_G
MIR382	MIR656	not_in_G	not_in_G
MIR382	MIR889	not_in_G	not_in_G
MIR409	MIR410	not_in_G	not_in_G
MIR409	MIR485	MACF1	PLEC
MIR409	MIR496	not_in_G	not_in_G
MIR409	MIR655	not_in_G	not_in_G
MIR409	MIR656	not_in_G	not_in_G
MIR409	MIR889	not_in_G	not_in_G
MIR410	MIR411	not_in_G	not_in_G
MIR410	MIR412	not_in_G	not_in_G
MIR410	MIR485	not_in_G	not_in_G
MIR410	MIR487A	not_in_G	not_in_G
MIR410	MIR487B	not_in_G	not_in_G
MIR410	MIR494	not_in_G	not_in_G
MIR410	MIR495	not_in_G	not_in_G
MIR410	MIR496	not_in_G	not_in_G
MIR410	MIR539	not_in_G	not_in_G
MIR410	MIR543	not_in_G	not_in_G
MIR410	MIR654	not_in_G	not_in_G
MIR410	MIR655	not_in_G	not_in_G
MIR410	MIR656	not_in_G	not_in_G
MIR410	MIR758	not_in_G	not_in_G
MIR410	MIR889	not_in_G	not_in_G
MIR411	MIR496	not_in_G	not_in_G
MIR411	MIR655	not_in_G	not_in_G
MIR411	MIR656	not_in_G	not_in_G
MIR411	MIR889	not_in_G	not_in_G
MIR412	MIR495	DDX3X	DDX24
MIR412	MIR496	not_in_G	not_in_G
MIR412	MIR655	not_in_G	not_in_G
MIR412	MIR656	not_in_G	not_in_G
MIR412	MIR889	not_in_G	not_in_G
MIR485	MIR496	not_in_G	not_in_G
MIR485	MIR655	not_in_G	not_in_G
MIR485	MIR656	not_in_G	not_in_G
MIR485	MIR889	not_in_G	not_in_G
MIR487A	MIR496	not_in_G	not_in_G
MIR487A	MIR655	not_in_G	not_in_G
MIR487A	MIR656	not_in_G	not_in_G
MIR487A	MIR889	not_in_G	not_in_G
MIR487B	MIR496	not_in_G	not_in_G
MIR487B	MIR655	not_in_G	not_in_G
MIR487B	MIR656	not_in_G	not_in_G
MIR487B	MIR889	not_in_G	not_in_G
MIR494	MIR496	not_in_G	not_in_G
MIR494	MIR655	not_in_G	not_in_G
MIR494	MIR656	not_in_G	not_in_G
MIR494	MIR889	not_in_G	not_in_G
MIR495	MIR496	not_in_G	not_in_G
MIR495	MIR655	not_in_G	not_in_G
MIR495	MIR656	not_in_G	not_in_G
MIR495	MIR889	not_in_G	not_in_G
MIR496	MIR539	not_in_G	not_in_G
MIR496	MIR543	not_in_G	not_in_G
MIR496	MIR654	not_in_G	not_in_G
MIR496	MIR655	not_in_G	not_in_G
MIR496	MIR656	not_in_G	not_in_G
MIR496	MIR758	not_in_G	not_in_G
MIR496	MIR889	not_in_G	not_in_G
MIR539	MIR655	not_in_G	not_in_G
MIR539	MIR656	not_in_G	not_in_G
MIR539	MIR889	not_in_G	not_in_G
MIR543	MIR655	not_in_G	not_in_G
MIR543	MIR656	not_in_G	not_in_G
MIR543	MIR889	not_in_G	not_in_G
MIR654	MIR655	not_in_G	not_in_G
MIR654	MIR656	not_in_G	not_in_G
MIR654	MIR889	not_in_G	not_in_G
MIR655	MIR656	not_in_G	not_in_G
MIR655	MIR758	not_in_G	not_in_G
MIR655	MIR889	not_in_G	not_in_G
MIR656	MIR758	not_in_G	not_in_G
MIR656	MIR889	not_in_G	not_in_G
MIR758	MIR889	not_in_G	not_in_G
MIR1283-1	MIR1323	not_in_G	not_in_G
MIR1283-1	MIR498	not_in_G	not_in_G
MIR1283-1	MIR515-1	not_in_G	not_in_G
MIR1283-1	MIR515-2	not_in_G	not_in_G
MIR1283-1	MIR517A	not_in_G	not_in_G
MIR1283-1	MIR517B	not_in_G	not_in_G
MIR1283-1	MIR517C	not_in_G	not_in_G
MIR1283-1	MIR519E	not_in_G	not_in_G
MIR1283-1	MIR520B	not_in_G	not_in_G
MIR1283-1	MIR520E	not_in_G	not_in_G
MIR1283-1	MIR520F	not_in_G	not_in_G
MIR1283-1	MIR520G	not_in_G	not_in_G
MIR1283-1	MIR524	not_in_G	not_in_G
MIR1283-1	MIR526A1	not_in_G	not_in_G
MIR1283-1	MIR526A2	not_in_G	not_in_G
MIR1283-2	MIR1323	not_in_G	not_in_G
MIR1283-2	MIR498	not_in_G	not_in_G
MIR1283-2	MIR515-1	not_in_G	not_in_G
MIR1283-2	MIR515-2	not_in_G	not_in_G
