miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR221	MIR222	PCDHA10	PCDHA12
MIR221	MIR222	PCDHA12	PCDHA4
MIR221	MIR222	PCDHA4	PCDHA1
MIR29A	MIR29B1	COL5A1	COL1A2
MIR29A	MIR29B2	COL5A1	COL1A2
MIR320A	MIR320B1	YWHAH	YWHAQ
MIR320A	MIR320B1	YWHAH	YWHAZ
MIR320A	MIR320B1	PCDHAC1	PCDHA10
MIR320A	MIR320B1	PCDHA7	PCDHA4
MIR320A	MIR320B1	PCDHA7	PCDHA10
MIR320A	MIR320B1	PCDHA9	PCDHA4
MIR320A	MIR320B1	PCDHA9	PCDHA10
MIR320A	MIR320B1	PCDHA9	PCDHA3
MIR320A	MIR320B1	PCDHA3	PCDHA6
MIR320A	MIR320B1	PCDHA3	PCDHA1
MIR320A	MIR320B1	PCDHA3	PCDHA11
MIR320A	MIR320B1	PCDHA3	PCDHA10
MIR320A	MIR320B1	PCDHA10	PCDHA6
MIR320A	MIR320B1	PCDHA10	PCDHA8
MIR320A	MIR320B1	PCDHA10	PCDHA5
MIR320A	MIR320B1	PCDHA10	PCDHA4
MIR320A	MIR320B1	PCDHA10	PCDHA2
MIR320A	MIR320B1	PCDHA10	PCDHA13
MIR320A	MIR320B1	PCDHA10	PCDHA11
MIR320A	MIR320B1	PCDHA10	PCDHA12
MIR320A	MIR320B1	PCDHA12	PCDHA4
MIR320A	MIR320B1	PCDHA4	PCDHA1
MIR320A	MIR320B2	YWHAH	YWHAQ
MIR320A	MIR320B2	YWHAH	YWHAZ
MIR320A	MIR320B2	PCDHAC1	PCDHA10
MIR320A	MIR320B2	PCDHA7	PCDHA4
MIR320A	MIR320B2	PCDHA7	PCDHA10
MIR320A	MIR320B2	PCDHA9	PCDHA4
MIR320A	MIR320B2	PCDHA9	PCDHA10
MIR320A	MIR320B2	PCDHA9	PCDHA3
MIR320A	MIR320B2	PCDHA3	PCDHA6
MIR320A	MIR320B2	PCDHA3	PCDHA1
MIR320A	MIR320B2	PCDHA3	PCDHA11
MIR320A	MIR320B2	PCDHA3	PCDHA10
MIR320A	MIR320B2	PCDHA10	PCDHA6
MIR320A	MIR320B2	PCDHA10	PCDHA8
MIR320A	MIR320B2	PCDHA10	PCDHA5
MIR320A	MIR320B2	PCDHA10	PCDHA4
MIR320A	MIR320B2	PCDHA10	PCDHA2
MIR320A	MIR320B2	PCDHA10	PCDHA13
MIR320A	MIR320B2	PCDHA10	PCDHA11
MIR320A	MIR320B2	PCDHA10	PCDHA12
MIR320A	MIR320B2	PCDHA12	PCDHA4
MIR320A	MIR320B2	PCDHA4	PCDHA1
MIR320A	MIR320C1	YWHAH	YWHAQ
MIR320A	MIR320C1	YWHAH	YWHAZ
MIR320A	MIR320C1	PCDHAC1	PCDHA10
MIR320A	MIR320C1	PCDHA7	PCDHA4
MIR320A	MIR320C1	PCDHA7	PCDHA10
MIR320A	MIR320C1	PCDHA9	PCDHA4
MIR320A	MIR320C1	PCDHA9	PCDHA10
MIR320A	MIR320C1	PCDHA9	PCDHA3
MIR320A	MIR320C1	PCDHA3	PCDHA6
MIR320A	MIR320C1	PCDHA3	PCDHA1
MIR320A	MIR320C1	PCDHA3	PCDHA11
MIR320A	MIR320C1	PCDHA3	PCDHA10
MIR320A	MIR320C1	PCDHA10	PCDHA6
MIR320A	MIR320C1	PCDHA10	PCDHA8
MIR320A	MIR320C1	PCDHA10	PCDHA5
MIR320A	MIR320C1	PCDHA10	PCDHA4
MIR320A	MIR320C1	PCDHA10	PCDHA2
MIR320A	MIR320C1	PCDHA10	PCDHA13
MIR320A	MIR320C1	PCDHA10	PCDHA11
MIR320A	MIR320C1	PCDHA10	PCDHA12
MIR320A	MIR320C1	PCDHA12	PCDHA4
MIR320A	MIR320C1	PCDHA4	PCDHA1
MIR320A	MIR320C2	YWHAH	YWHAQ
MIR320A	MIR320C2	YWHAH	YWHAZ
MIR320A	MIR320C2	PCDHAC1	PCDHA10
MIR320A	MIR320C2	PCDHA7	PCDHA4
MIR320A	MIR320C2	PCDHA7	PCDHA10
MIR320A	MIR320C2	PCDHA9	PCDHA4
MIR320A	MIR320C2	PCDHA9	PCDHA10
MIR320A	MIR320C2	PCDHA9	PCDHA3
MIR320A	MIR320C2	PCDHA3	PCDHA6
MIR320A	MIR320C2	PCDHA3	PCDHA1
MIR320A	MIR320C2	PCDHA3	PCDHA11
MIR320A	MIR320C2	PCDHA3	PCDHA10
MIR320A	MIR320C2	PCDHA10	PCDHA6
MIR320A	MIR320C2	PCDHA10	PCDHA8
MIR320A	MIR320C2	PCDHA10	PCDHA5
MIR320A	MIR320C2	PCDHA10	PCDHA4
MIR320A	MIR320C2	PCDHA10	PCDHA2
MIR320A	MIR320C2	PCDHA10	PCDHA13
MIR320A	MIR320C2	PCDHA10	PCDHA11
MIR320A	MIR320C2	PCDHA10	PCDHA12
MIR320A	MIR320C2	PCDHA12	PCDHA4
MIR320A	MIR320C2	PCDHA4	PCDHA1
MIR320B1	MIR320B2	YWHAH	YWHAQ
MIR320B1	MIR320B2	YWHAH	YWHAZ
MIR320B1	MIR320B2	PCDHAC1	PCDHA10
MIR320B1	MIR320B2	PCDHA7	PCDHA4
MIR320B1	MIR320B2	PCDHA7	PCDHA10
MIR320B1	MIR320B2	PCDHA9	PCDHA4
MIR320B1	MIR320B2	PCDHA9	PCDHA10
MIR320B1	MIR320B2	PCDHA9	PCDHA3
MIR320B1	MIR320B2	PCDHA3	PCDHA6
MIR320B1	MIR320B2	PCDHA3	PCDHA1
MIR320B1	MIR320B2	PCDHA3	PCDHA11
MIR320B1	MIR320B2	PCDHA3	PCDHA10
MIR320B1	MIR320B2	PCDHA10	PCDHA6
MIR320B1	MIR320B2	PCDHA10	PCDHA8
MIR320B1	MIR320B2	PCDHA10	PCDHA5
MIR320B1	MIR320B2	PCDHA10	PCDHA4
MIR320B1	MIR320B2	PCDHA10	PCDHA2
MIR320B1	MIR320B2	PCDHA10	PCDHA13
MIR320B1	MIR320B2	PCDHA10	PCDHA11
